Date published,Recommendation,File name,Page Count,Public URL,Page References,File type,Size (bytes),Audit Report,Website,Server,Server IP,File extension,Duplicate of,Source folder on server,File location (relative to source folder),Full file path on server,Content hash (SHA-256),Delete?,Notes
2024-10-07T20:23:20.000Z,,Info_Net_Definitions_2024_Revisions_4505e35d23.docx,,https://infonet.icjia-api.cloud/uploads/Info_Net_Definitions_2024_Revisions_4505e35d23.docx,No,office-document,75478,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,Info_Net_Definitions_2024_Revisions_4505e35d23.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/Info_Net_Definitions_2024_Revisions_4505e35d23.docx,1644560f0134b72b5aa0fb8c5ff09cdcfa26e32a25403950910d642c4d253ca1,,
2024-02-09T15:14:22.000Z,,DV_CLIENT_NEEDS_2024_221486cafa.docx,,https://infonet.icjia-api.cloud/uploads/DV_CLIENT_NEEDS_2024_221486cafa.docx,https://infonet.icjia.illinois.gov/tabs/domestic-violence-dv,office-document,16084,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,DV_CLIENT_NEEDS_2024_221486cafa.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/DV_CLIENT_NEEDS_2024_221486cafa.docx,9df5a0e374517754434a2330530eabd1638ae1bd1e80802547aed5f1b791aef9,,
2024-02-09T15:14:22.000Z,,SA_Info_Net_Client_Intake_Form_WITH_Client_Needs_Jan_2024_6db4adfc6e.docx,,https://infonet.icjia-api.cloud/uploads/SA_Info_Net_Client_Intake_Form_WITH_Client_Needs_Jan_2024_6db4adfc6e.docx,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,50249,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Info_Net_Client_Intake_Form_WITH_Client_Needs_Jan_2024_6db4adfc6e.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Info_Net_Client_Intake_Form_WITH_Client_Needs_Jan_2024_6db4adfc6e.docx,4d2694db6bfc8cb0037120c7758d09be9bcbf78b35494f598f3757998570d1c6,,
2023-08-08T17:25:33.000Z,,Infonet_ABOUT_User_Agencies_2_4_0a645f865b.docx,,https://infonet.icjia-api.cloud/uploads/Infonet_ABOUT_User_Agencies_2_4_0a645f865b.docx,https://infonet.icjia.illinois.gov/about,office-document,38085,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,Infonet_ABOUT_User_Agencies_2_4_0a645f865b.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/Infonet_ABOUT_User_Agencies_2_4_0a645f865b.docx,5d1fa4c41059e513d22fc9231336436b19fc01a3bbedc9e5624a0416ede3c6ee,,
2023-07-29T16:56:41.000Z,,SA_Advocacy_Services_Form_38791983d6.doc,,https://infonet.icjia-api.cloud/uploads/SA_Advocacy_Services_Form_38791983d6.doc,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,47104,,Infonet,infonet-strapi-prod,192.241.146.85,doc,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Advocacy_Services_Form_38791983d6.doc,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Advocacy_Services_Form_38791983d6.doc,f39dd059ff0589fd52d9ece76ffe39c9d92dffe4517910f792557f9db5f54f4f,,
2023-07-29T16:56:41.000Z,,SA_Closure_Summary_Form_f8f2812061.doc,,https://infonet.icjia-api.cloud/uploads/SA_Closure_Summary_Form_f8f2812061.doc,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,23552,,Infonet,infonet-strapi-prod,192.241.146.85,doc,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Closure_Summary_Form_f8f2812061.doc,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Closure_Summary_Form_f8f2812061.doc,d169429fda9e98d9cd6a3d9a2b3ddef3cbfe41cf748dcfc2e0f234911062d0d9,,
2023-07-29T16:56:41.000Z,,SA_Awareness_Promotion_and_Social_Justice_Activism_1_21_5797421a92.docx,,https://infonet.icjia-api.cloud/uploads/SA_Awareness_Promotion_and_Social_Justice_Activism_1_21_5797421a92.docx,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,23609,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Awareness_Promotion_and_Social_Justice_Activism_1_21_5797421a92.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Awareness_Promotion_and_Social_Justice_Activism_1_21_5797421a92.docx,eaf0be1553f0f980f7ecf422666390751a06b6146a100c2ab6fca756b7af9650,,
2023-07-29T16:56:41.000Z,,SA_Counseling_Service_Review_Record_1_21_066acdf439.doc,,https://infonet.icjia-api.cloud/uploads/SA_Counseling_Service_Review_Record_1_21_066acdf439.doc,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,54784,,Infonet,infonet-strapi-prod,192.241.146.85,doc,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Counseling_Service_Review_Record_1_21_066acdf439.doc,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Counseling_Service_Review_Record_1_21_066acdf439.doc,9cefd48ee3da45bebeedee69ebe9ff44f1a19261255002625864f0252be25dbd,,
2023-07-29T16:56:41.000Z,,SA_Counseling_Progress_Notes_7_19_3887c27342.docx,,https://infonet.icjia-api.cloud/uploads/SA_Counseling_Progress_Notes_7_19_3887c27342.docx,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,19504,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Counseling_Progress_Notes_7_19_3887c27342.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Counseling_Progress_Notes_7_19_3887c27342.docx,010b76a4ffaa4fa4a98d0a80fca3738def2248c4e85dc85a8267c549175cb72d,,
2023-07-29T16:56:41.000Z,,SA_Criminal_Justice_7_19_f34091f9d8.docx,,https://infonet.icjia-api.cloud/uploads/SA_Criminal_Justice_7_19_f34091f9d8.docx,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,24834,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Criminal_Justice_7_19_f34091f9d8.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Criminal_Justice_7_19_f34091f9d8.docx,de8120ea4f9ac21cd476a1e740e394e9c7f48d278e42e45e09e54eed11f9bcab,,
