Publication Date,Center,Recommendation,Title,Type,Page URL,File URL,Web Article URL,File Type,File Size,File Size (bytes),File Status,Has Hosted File
2025-01-24,CJRE,Archive,Illinois Juvenile Justice System Data Trends Pre- and Post-COVID-19,article,https://icjia.illinois.gov/about/publications/illinois-juvenile-justice-system-data-trends-pre-and-post-covid-19/,https://researchhub.icjia-api.cloud/uploads/IJJC%20Data%20Trends%20article-250331T16235728.pdf,https://icjia.illinois.gov/researchhub/articles/illinois-juvenile-justice-system-data-trends-pre--and-post-covid-19/,PDF,176.8 KB,181044,200,yes
2025-01-15,Victim Studies,Archive,2024 Task Force on Missing and Murdered Chicago Women Annual Report,annualReport,https://icjia.illinois.gov/about/publications/2024-task-force-on-missing-and-murdered-chicago-women-annual-report/,https://researchhub.icjia-api.cloud/uploads/2024%20Task%20Force%20on%20Missing%20and%20Murdered%20Chicago%20Women%20Annual%20Report_Final-250114T18393571.pdf,https://icjia.illinois.gov/researchhub/articles/2024-task-force-on-missing-and-murdered-chicago-women-annual-report/,PDF,361.3 KB,369981,200,yes
2024-12-27,Comms,,SFY24 ICJIA Annual Report,annualReport,https://icjia.illinois.gov/about/publications/sfy-24-icjia-annual-report/,https://agency.icjia-api.cloud/uploads/SFY_24_ICJIA_Annual_Report_FINAL_2538a182e5_1731f93851.pdf,,PDF,4.6 MB,4843169,200,yes
2024-11-15,Victim Studies,Archive,2024 Domestic Violence Pretrial Practices Working Group Final Report: Recommendations for Improving Court Procedures,article,https://icjia.illinois.gov/about/publications/2024-domestic-violence-pretrial-practices-working-group-final-report-recommendations-for-improving-court-procedures/,https://researchhub.icjia-api.cloud/uploads/2024_Domestic%20Violence%20Pretrial%20Working%20Group_Final_Report-241115T20303582.pdf,https://icjia.illinois.gov/researchhub/articles/2024-domestic-violence-pretrial-practices-working-group-final-report-recommendations-for-improving-court-procedures/,PDF,2.5 MB,2628176,200,yes
2024-10-17,CJRE,Archive,"Evaluation of Youth Mental Health First Aid Trainings for Illinois Schools, 2022-2023",article,https://icjia.illinois.gov/about/publications/evaluation-of-youth-mental-health-first-aid-trainings-for-illinois-schools-2022-2023/,https://researchhub.icjia-api.cloud/uploads/Evaluation%20of%20Youth%20Mental%20Health%20First%20Aid%20Trainings%20for%20Illinois%20Schools%202022%202023-241017T14563868.pdf,https://icjia.illinois.gov/researchhub/articles/evaluation-of-youth-mental-health-first-aid-trainings-for-illinois-schools-2022-2023/,PDF,883.6 KB,904757,200,yes
2024-10-04,CJRE,Archive,Police Use of Discretion in Encounters with People with Opioid Use Disorder: A Study of Illinois Police Officers,article,https://icjia.illinois.gov/about/publications/police-use-of-discretion-in-encounters-with-people-with-opioid-use-disorder-a-study-of-illinois-police-officers-1/,https://researchhub.icjia-api.cloud/uploads/Use%20of%20Discretion%20PDF%20for%20POSTING-231128T20591887.pdf,https://icjia.illinois.gov/researchhub/articles/police-use-of-discretion-in-encounters-with-people-with-opioid-use-disorder--a-study-of-illinois-police-officers/,PDF,1.1 MB,1129278,200,yes
2024-08-08,CSRPD,Remediate,Illinois Edward Byrne Memorial Justice Research Grant Strategic Plan 2024-2029,general,https://icjia.illinois.gov/about/publications/illinois-edward-byrne-memorial-justice-research-grant-strategic-plan-2024-2029/,https://researchhub.icjia-api.cloud/uploads/JAG%202024-29%20FINAL%20DRAFT%208-2024-240808T19411840.pdf,https://icjia.illinois.gov/researchhub/articles/illinois-edward-byrne-memorial-justice-research-grant-strategic-plan-2024-2029,PDF,919.1 KB,941183,200,yes
2024-07-26,CJRE,Archive,"Evaluation of the Development of Choices, a Multijurisdictional Police-Led Deflection Program in Southwestern Illinois",article,https://icjia.illinois.gov/about/publications/evaluation-of-the-development-of-choices-a-multijurisdictional-police-led-deflection-program-in-southwestern-illinois/,https://researchhub.icjia-api.cloud/uploads/Deflection%20Action%20Planning%20ChoicesN%20Sullivan%20FINAL-240730T18504766.pdf,https://icjia.illinois.gov/researchhub/articles/evaluation-of-the-development-of-choices-a-multijurisdictional-police-led-deflection-program-in-southwestern-illinois/,PDF,1.3 MB,1321639,200,yes
2024-07-11,task force,Remediate,Illinois Firearm Prohibitors and Records Improvement Task Force 2024 Report,article,https://icjia.illinois.gov/about/publications/illinois-firearm-prohibitors-and-records-improvement-task-force-2024-report/,https://researchhub.icjia-api.cloud/uploads/firearmprohibitorstaskforce2024-240703T20585852.pdf,https://icjia.illinois.gov/researchhub/articles/illinois-firearm-prohibitors-and-records-improvement-task-force-2024-report/,PDF,407.4 KB,417171,200,yes
2024-06-27,mandated by law,Remediate,State Fiscal Year 2024 Illinois Freedom from Drone Surveillance Act Report (without Appendices),general,https://icjia.illinois.gov/about/publications/state-fiscal-year-2024-illinois-freedom-from-drone-surveillance-act-report-without-appendices/,https://agency.icjia-api.cloud/uploads/SFY_24_Drone_Report_without_appendices_efe0ed21ae.pdf,,PDF,245.6 KB,251466,200,yes
2024-06-27,mandated by law,Remediate,State Fiscal Year 2024 Illinois Freedom from Drone Surveillance Act Report (with Appendices),general,https://icjia.illinois.gov/about/publications/state-fiscal-year-2024-illinois-freedom-from-drone-surveillance-act-report-with-appendices/,https://agency.icjia-api.cloud/uploads/SFY_24_Drone_Report_with_Appendices_491dfa4810.pdf,,PDF,49.4 MB,51769356,200,yes
2024-06-25,CCJDA,Remediate,Illinois Crime Reduction Task Force Report: A Report to the Illinois Governor and General Assembly,article,https://icjia.illinois.gov/about/publications/illinois-crime-reduction-task-force-report-a-report-to-the-illinois-governor-and-general-assembly/,https://researchhub.icjia-api.cloud/uploads/Illinois%20Crime%20Reduction%20Task%20Force%20Report_Final%206-240624T21104385.pdf,https://icjia.illinois.gov/researchhub/articles/illinois-crime-reduction-task-force-report-a-report-to-the-illinois-governor-and-general-assembly/,PDF,2.3 MB,2436238,200,yes
2024-06-12,CVPIR,Archive,Violence Interrupters: A Review of the Literature,article,https://icjia.illinois.gov/about/publications/violence-interrupters-a-review-of-the-literature/,https://researchhub.icjia-api.cloud/uploads/SI%20Report%20Complete%20PDF-240604T20295358.pdf,https://icjia.illinois.gov/researchhub/articles/violence-interrupters-a-review-of-the-literature/,PDF,763.6 KB,781975,200,yes
2024-03-27,mandated,Remediate,Criminal History Record Checks for Federally Assisted Housing Applications: 2023 Report,article,https://icjia.illinois.gov/about/publications/criminal-history-record-checks-for-federally-assisted-housing-applications-2023-report/,https://researchhub.icjia-api.cloud/uploads/Criminal%20History%20Record%20Checks%20for%20Federally%20Assisted%20Housing%20Applications%202023%20Report%20READY%20FOR%20PUBLISHING-240327T21301873.pdf,https://icjia.illinois.gov/researchhub/articles/criminal-history-record-checks-for-federally-assisted-housing-applications-2023-report/,PDF,453.4 KB,464315,200,yes
2024-03-11,Victim Studies,Remediate,2023 Domestic Violence Fatality Review Committee Annual Report,annualReport,https://icjia.illinois.gov/about/publications/2023-domestic-violence-fatality-review-committee-annual-report/,https://agency.icjia-api.cloud/uploads/DVFR_Annual_Report_2023_FINAL_COMPRESSED_dee7ed44b6_e258325d65.pdf,,PDF,978.7 KB,1002140,200,yes
2024-03-08,Victim Studies,Remediate,2024 Domestic Violence Fatality Review Committee Biennial Report,annualReport,https://icjia.illinois.gov/about/publications/2024-domestic-violence-fatality-review-committee-biennial-report/,https://agency.icjia-api.cloud/uploads/DVFR_Biennial_Report_2024_FINAL_PUBLISHED_d01bf7bffd_b7889a939d.pdf,,PDF,1.8 MB,1923087,200,yes
2024-02-29,Victim Studies,Archive,InfoNet: State Fiscal Year 2023 Highlights,general,https://icjia.illinois.gov/about/publications/info-net-state-fiscal-year-2023-highlights/,https://researchhub.icjia-api.cloud/uploads/SFY23%20InfoNet%20Infographic-240305T20320674.pdf,https://icjia.illinois.gov/researchhub/articles/sfy-23-infonet-infographic,PDF,3.8 MB,4031064,200,yes
2024-02-21,CCJDA,Remediate,2023 Illinois Death in Custody Annual Report,annualReport,https://icjia.illinois.gov/about/publications/2023-illinois-death-in-custody-annual-report/,https://researchhub.icjia-api.cloud/uploads/2023%20Deaths%20in%20Custody%20Annual%20Report-240216T22514713.pdf,,PDF,844.0 KB,864224,200,yes
